,CYP2E1,CYP3A5,UGT2B28,CYP3A4,GSTP1,GSTZ1,CYP2D6,ADH1B,FMO4,ADH1C,ADH4,ADH5,GSTO1,ADH1A,GSTA5,MGST2,MGST1,FMO1,FMO2,MGST3,FMO3,GSTA3,UGT2B11,CYP2C9,FMO5,GSTA4,CYP2C19,GSTM4,CYP2C8,GSTM3,CYP2B6,UGT2A3,CYP2A13,CYP3A7,GSTA1,MAOB,GSTA2,MAOA,AOX1,ALDH3A1,GSTK1,ADH7,CYP1A2,ADH6,UGT2A1,ALDH1A3,ALDH3B1,ALDH3B2,CYP3A43,GSTO2,UGT2B10,UGT2B7,UGT2B4,UGT2B17,UGT2B15
CAL-120,-0.6171118765007297,-0.7919675802393782,-0.8235279024137608,-0.8843767773292582,3.0192711098533644,0.19064360302383768,-0.5932723626676328,-0.8781892768111936,-0.40009422911619263,-0.7532390601410942,-0.8906140424547687,1.8415487401972757,2.16444335447265,-0.7935980648862287,-0.7876069483233337,0.7556798209952766,3.028577662825334,-0.914354912802192,-0.8377548850000675,2.0857777629149905,-0.8577622206281642,-0.30184087554621314,-0.8881683598391918,-0.7962146395604666,-0.8550784210623789,0.460214870860645,-0.8702489331815737,-0.7897381138158951,-0.9849350826514304,-0.5332510367985661,-0.7649133756681501,-0.9675383021962759,-0.6779005013579519,-0.8708764284332824,-0.8199648112019865,-0.9071785586178064,-0.8630360521065041,-0.6025741694593565,1.5275510862226551,-0.7341576777571872,-0.3460290751310591,-0.8349638926372529,-0.9984520147457684,-0.801005055316522,-0.8002899028968758,0.26215030705009257,1.0380030074562916,-0.8210362983548056,-0.8187547872648907,0.6590581485117187,-0.8699017682706207,-0.6676862465317549,-1.0004279456158531,-1.0213465255601326,-0.8687990272047117
ETK-1,-0.6508458404780352,-0.8453222564381835,-0.6765234535669182,-0.9288063353794456,3.619078992952411,1.3622710230359458,-0.5191059338905603,-0.8085843846095906,-0.4538131187049732,0.0645689253360022,-0.8839843401388504,1.2561922056016863,2.4268648796623364,-0.8214052002258273,-0.8572221512390698,2.4069511691396905,3.351921897353388,-0.9108386626929936,-0.9342048578100716,2.6241036960863484,-0.8943286095937265,-0.4534359369394035,-0.9755841993963592,-0.9093555573547646,-0.8429951657400959,-0.3049317835293492,-0.8396729180190586,-0.016421748628770574,-0.9976254147550134,-0.18508549906917532,-0.7576751563188973,-0.9633988586713532,-0.7008287026020277,-0.8823147923831866,-0.8339209204406381,-0.9279709369904648,-0.8210340444530874,-0.031187986987101606,-0.0997817861963555,1.1422219991399114,0.12859425896948765,-0.8803045872322769,-0.8881503839600229,-0.7510740339685296,-0.8556797249212638,0.293383529379322,0.7299424465358245,-0.7166028459118817,-0.9477626264410394,0.33259401655507825,-0.8360938770097281,-0.7827725390621902,-0.9866623670670396,-1.0543651282849686,-0.8205160359976335
H2731,-0.8025430874701371,-0.7639961954042064,-0.7393881555094767,-0.8799665565877943,2.915636919029544,0.44962115355133375,-0.7184515381795149,-0.8062671969059768,-0.4671046140272289,-0.8197256645049495,-0.8622759705209272,1.9560208650153732,2.337021314520051,-0.910441817875158,-0.7483047158237892,0.4069297917554349,-0.4173968547919304,-0.8554603011589044,-0.8392809370397489,2.2710084386704352,-0.7733686016822764,-0.6942434071141036,-0.9450172493496566,-0.7846240437350049,-0.976952314696508,-0.4147579827294903,-0.7884493744676545,-0.673516201594511,-0.9408056365330651,0.3859306487691396,-0.7421446048534903,-0.9346273967070744,-0.7950617421254076,-0.8763251788129123,-0.7098839152659562,-0.8904752508634738,-0.9846694546533988,-0.5518860824305409,0.4597278525861146,-0.3929515054452802,-0.6698474790917873,-0.7966139063689941,-0.7747444477061424,-0.7814529334045002,-0.7986927837108012,-0.2404715129208805,0.6395120275603778,-0.8085089217977559,-0.965795895450962,-0.7384948568862693,-0.9184842185137768,-0.8084079144681271,-0.9454052677170643,-1.0156142947072218,-0.8610512849002576
NCI-H441,-0.6380061766729549,-0.8151670231097966,-0.7871145666380842,-0.8485418724643989,2.9112018192872933,0.392920354680832,-0.5953942418757876,-0.8924772535666746,-0.4994209888717018,-0.6709259908524013,-0.9932823906480652,1.5928365151981594,1.974377214342096,-0.8735588110224983,-0.8334261493905601,1.9646881708572863,3.4895313578704448,-1.0046005553589237,-0.8928542083367905,2.327820103852521,-0.8979130406399549,-0.44145002836618863,-0.8884505003944195,-0.7905887584084766,-0.5651754815309925,0.9612835443653438,-0.9174014193313778,-0.9227923571924704,-0.8514656185921297,-0.7363589387844728,-0.8065374894610805,-0.9678668371601732,-0.7952209973654323,-0.8677332161607633,-0.8336803026037699,-0.8907647498697455,-0.5948444821389502,0.8964739788782661,-0.6174218784769749,-0.6922755296238474,-0.2641718003643327,-0.8029777939328232,-0.9238735562091046,-0.7637329712872071,-0.9008546903377076,-0.07826018769113466,0.7079025726690542,-0.771750275715789,-0.8514612327564335,0.3551954035266829,-0.7613619215313905,-0.6907684227061798,-0.9532158859917828,-0.9551615119882862,-0.7189093416819688
NCI-H358,-0.4322302442867535,-0.7876773412723713,-0.8363099201081273,-0.8670351698069269,3.1544709749425346,0.09884561806825516,-0.4870361311399123,-0.8783948399916512,-0.6554482517735457,-0.15116236989341372,-1.0020056248429814,1.6921799464803693,1.7058338162747817,-0.874166484436498,-0.727861358519177,1.7226727475429342,3.0337154885623856,-1.012976560919146,-0.9194550475348175,1.881450103545184,-0.8664271796812846,-0.5387250697351069,-1.0842507979608569,-0.8262948944059634,-0.2759125759176684,1.8732800949384287,-0.9439110762464844,-0.8517483028362303,-0.9627724050602471,-0.7550460952191017,-0.7764973497158126,-0.9951822206124517,-0.6875877547433739,-0.8799943146931525,-0.7823577592806353,-0.9695038882631988,-0.9096424207963628,1.2570908316934628,-0.6259192428280425,-0.5374025505450702,-0.3168261465876571,-0.8540374745666665,-0.8401168797838978,-0.7963901200099783,-0.9534178410332091,0.7118488377842307,0.7065171904753171,-0.7468288683088035,-0.8164707135250828,0.4200451920646525,-0.7854987707035105,-0.8498852058037598,-0.930791758898252,-1.0626114686384025,-0.6894236812681691
LS-411N,-0.6936084856737038,1.8057208632699784,-0.8202534189676876,-0.8853341313043442,3.3294297456938,0.6239298995108712,-0.3718083015491965,-0.8347342284687758,-0.6326203215750106,-0.8376995979256249,-0.9911108368460756,0.7939658979105424,2.2883877961582653,-0.7446937402952041,-0.8279526568763527,2.3562252338585568,2.820221506067568,-0.9465178699941488,-0.8713678824120539,2.377763387688719,-0.9692722837583904,-0.4074948459207625,-1.0664628461471013,-0.7126863137093341,-0.5641938610897287,0.1034934635909594,-0.8104176580167749,-0.3882181302573123,-0.9592263375626447,-0.7381681760427609,-0.7644160341955908,-0.9139913698562468,-0.8184498373877738,-0.8472751012318219,-0.8558783140377563,-0.5157812135292816,-0.8642826725080746,0.9851704303792521,-0.7448573400361511,0.5845328326324422,0.02716580035226384,-0.8663757117701268,-0.8613710681114225,-0.7494970983626034,-0.9407201029183286,0.7721967105174582,-0.040193954791244255,-0.8434304874367151,-0.915830787257227,1.5239275597904065,-0.8740607695117661,-0.8254158741477278,-0.9752012641963584,-0.9794753936646646,-0.18873082152319512
NCI-H2452,-0.5143904788913845,-0.806443892493599,-0.8286386918867646,-0.9146687516366234,3.2748026454044914,0.07598665287729578,-0.6049021920484344,-0.8660193356358691,-0.2715085379987903,-0.9121395848806418,-0.9752125087750302,1.8347313082447896,2.875784798129363,-0.9058664150906686,-0.7823920428900561,-0.30237176094797225,3.1216078196759085,-0.9651181751540572,-0.8666572831851492,2.6903053731414546,-0.9103119030026308,-0.5965501483449979,-0.9104084690658748,-0.8471781427890764,-0.8872018194182397,0.5625002796743249,-0.7901510639702269,-0.8587329329372952,-0.5585499279820912,-0.19623035156808008,-0.7346125716820809,-0.9875358612610784,-0.5436036968006,-0.8299645225869978,-0.6631886670950263,-0.8804861350825718,-0.8125510068639703,-0.6283418533793509,0.4454496311367607,-0.8039670542699752,-0.3195306004766609,-0.7796986067390956,-0.925599593782102,-0.7732732460024554,-0.7698602445388135,0.2546918381964922,0.5642337407739508,-0.7709106064985324,-0.934221382250739,-0.7046585684893132,-0.7206695321668974,-0.7885424071812199,-0.9377634303538828,-1.0623165073048586,-0.7923810833976588
UACC-257,-0.7475730468654158,-0.8094861967238722,-0.7249677788344068,-0.7512219446026539,2.929828896232297,1.0398361804017908,-0.5454850971263006,-0.8602061779473511,0.14740107158438914,-0.9049667602735612,-0.8515783339138898,1.4403904526135387,2.968387611509037,-0.8718169313684327,-0.8376182951367132,2.1000616483272823,2.61982598062293,-0.9275362143615496,-0.8522140028022983,2.7972147816837856,-0.8431508571389122,-0.3607485792196856,-0.9826267462425656,-0.8084452724016165,-0.9182819466012276,1.213507157922052,-0.7533256132364274,-0.3067678372533201,-0.8818240112215947,-0.0920867445517648,-0.8157487545698188,-0.9450051279693498,-0.6729601093159547,-0.8598188663063321,-0.7336086942044334,-0.6750475200638192,-0.7950197735715115,-0.4821988103553751,-0.5962763403384393,-0.6584501216803534,-0.24050250478585314,-0.8535759979079351,-0.7962078835889862,-0.8161807598811858,-0.8963626486221288,-0.3555750903807554,-0.31856055607358824,-0.8731250284003639,-0.8683151132624893,-0.7813787171836768,-0.925014559844037,0.3139097616410039,-0.9654102170691524,-1.0098857542196893,-0.785799438393246
H2369,0.22358884331844656,-0.7997517233747231,-0.6934550068571134,-0.823854785270311,3.2491202821835343,0.13302628365119193,-0.5709125826614738,-0.8149662239279678,-0.7436414546175342,-0.8239436955447224,-0.9600907349384672,2.2733078473411634,2.6718161755548797,-0.8540217526426197,-0.7821283210010371,1.3213506571030034,3.2837168488790947,-0.9412670953623868,-0.8694374049144322,2.7138977331051373,-0.8969173509688912,-0.521883192510683,-0.9280542342045364,-0.8208341482254911,-0.9411973845376328,1.0838662410728228,-0.9058488036766841,-0.6815946242000561,-0.9826770888109209,-0.15192999061789872,-0.7547087322406685,-0.8614486130363794,-0.8905116337628252,-0.7958386061528919,-0.7819096802586909,-0.9023000233336468,-0.9910497052447402,0.2512379289214665,1.6298849063799532,-0.6437033712492898,-0.3074335141321191,-0.8806085787847603,-0.9610568243994324,-0.7606484671728415,-0.813987082942932,-0.2599428776988585,1.2636415050522487,-0.8277738000664392,-0.8973760508840463,-0.3219867214531626,-0.7348079229829765,-0.7756152178725099,-0.9992713533841366,-1.0192349389206146,-0.8620682066122235
H2804,-0.668170937973798,-0.8294871797010371,-0.6459094582222275,-0.8659544879469646,3.320532179932305,-0.02755122354060129,-0.4981843217824175,-0.8328250618741236,-0.4587773264163434,-0.87018508980681,-0.823766510703249,1.9084150943132918,1.975762388024933,-0.8286936571619392,-0.8661845264960584,-0.034818182352388906,3.272379415365846,-0.9261068559407204,-0.8629637902805531,2.8887920323056124,-0.8711364469868721,-0.4263796510400804,-1.006897380329423,-0.8426573390417925,-0.965656746131452,0.6288467240329163,-0.8778701563858835,-0.2509969358397274,-0.932251851353822,-0.6342594444761136,-0.7137741854186616,-0.9055147661222152,-0.8044853089502875,-0.8572338991512586,-0.82891736410521,-0.7986785656536896,-0.8342305640314346,-0.18670033966901006,-0.3492256481117047,-0.2572678442964914,-0.6100627396417079,-0.8734522718798075,-0.8042608241594377,-0.7612772094026287,-0.8836869790993651,-0.5843108897450402,0.773127145939736,-0.8281723840304788,-0.8407916853994546,-0.8100999629250614,-0.8033062384986636,-0.8297649447551424,-0.957635476288234,-1.0378220084605143,-0.8243609740572423
